# Time-averaged data for fix at2
# TimeStep v_fedgeZ f_mysf2[3]
28270 0.628472 0.986288
28280 -0.272147 -0.427092
28290 -0.60552 -0.950268
28300 -0.320201 -0.502506
28310 -0.539818 -0.847159
28320 -0.696082 -1.09239
28330 -0.107699 -0.169017
28340 -0.137885 -0.216389
28350 -0.732917 -1.1502
28360 -0.472038 -0.740789
28370 0.0127469 0.0200042
28380 -0.741838 -1.1642
28390 -1.42451 -2.23554
28400 -0.941588 -1.47767
28410 -0.651465 -1.02237
28420 -1.13312 -1.77825
28430 -0.786517 -1.23432
28440 0.186156 0.292143
28450 -0.228605 -0.358759
28460 -1.36447 -2.14132
28470 -1.25306 -1.96649
28480 -0.581169 -0.912053
28490 -0.900062 -1.41251
28500 -1.26324 -1.98245
28510 -0.649545 -1.01936
28520 -0.285515 -0.448071
28530 -0.406982 -0.638694
28540 0.0960441 0.150726
28550 0.443743 0.696385
28560 -0.18636 -0.292463
28570 -0.71321 -1.11927
28580 -0.535134 -0.839809
28590 -0.423645 -0.664844
28600 -1.00711 -1.5805
28610 -1.25376 -1.96758
28620 -1.09388 -1.71667
28630 -1.53552 -2.40976
28640 -2.24806 -3.52798
28650 -1.94393 -3.05069
28660 -1.34308 -2.10775
28670 -1.24654 -1.95625
28680 -1.56211 -2.45149
28690 -1.56279 -2.45255
28700 -1.18462 -1.85908
28710 -0.969018 -1.52072
28720 -1.00781 -1.58159
28730 -1.30026 -2.04055
28740 -1.20538 -1.89165
28750 -0.772442 -1.21223
28760 -0.63904 -1.00287
28770 -0.565539 -0.887524
28780 -0.149557 -0.234705
28790 -0.289981 -0.455079
28800 -1.13543 -1.78187
28810 -1.34581 -2.11204
28820 -0.840911 -1.31968
28830 -0.531621 -0.834295
28840 -0.542636 -0.851582
28850 -0.368885 -0.578907
28860 -0.805716 -1.26445
28870 -1.8494 -2.90234
28880 -1.76678 -2.77268
28890 -0.86675 -1.36023
28900 -1.1192 -1.75641
28910 -1.87232 -2.9383
28920 -1.27761 -2.00502
28930 -0.293697 -0.460912
28940 -0.678427 -1.06468
28950 -1.09495 -1.71836
28960 -0.564461 -0.885833
28970 -0.659333 -1.03472
28980 -1.47774 -2.31909
28990 -1.22535 -1.92299
29000 -0.256218 -0.402094
29010 -0.322288 -0.50578
29020 -0.718099 -1.12694
29030 -0.381704 -0.599024
29040 -0.266307 -0.417926
29050 -0.447507 -0.702292
29060 -0.164859 -0.25872
29070 0.119977 0.188286
29080 -0.93564 -1.46834
29090 -1.80345 -2.83023
29100 -1.19965 -1.88266
29110 -0.392271 -0.615608
29120 -0.766266 -1.20253
29130 -1.44719 -2.27113
29140 -1.55476 -2.43995
29150 -1.78661 -2.8038
29160 -2.34037 -3.67285
29170 -2.39835 -3.76384
29180 -1.71083 -2.68488
29190 -1.14331 -1.79425
29200 -1.0585 -1.66115
29210 -1.19903 -1.88169
